Table,,,,,,"2-6.-5,000m",,Row,Scoring,Tables.,,,,,,,
20:15,75,79,81,84,87,90,93,98,23:15,75,79,81,84,87,90,93,98
20:20,75,78,81,83,86,89,93,97,23:20,75,78,81,83,86,89,93,97
20:25,74,77,80,83,85,88,92,96,23:25,74,77,80,83,85,88,92,96
20:30,73,76,79,82,85,87,91,95,23:30,73,76,79,82,85,87,91,95
20:35,72,75,78,81,84,86,90,94,23:35,72,75,78,81,84,86,90,94
20:40,71,74,77,80,83,86,89,93,23:40,71,74,77,80,83,86,89,93
20:45,70,73,76,79,82,85,88,93,23:45,70,73,76,79,82,85,88,93
20:50,69,72,75,78,81,84,88,92,23:50,69,72,75,78,81,84,88,92
20:55,68,71,74,77,80,83,87,91,23:55,68,71,74,77,80,83,87,91
21:00,67,70,74,77,79,82,86,90,24:00,67,70,74,77,79,82,86,90
21:05,66,70,73,76,79,81,85,89,24:05,66,70,73,76,79,81,85,89
21:10,65,69,72,75,78,81,84,88,24:10,65,69,72,75,78,81,84,88
21:15,65,68,71,74,77,80,83,88,24:15,65,68,71,74,77,80,83,88
21:20,64,67,70,73,76,79,83,87,24:20,64,67,70,73,76,79,83,87
21:25,63,66,69,72,75,78,82,86,24:25,63,66,69,72,75,78,82,86
21:30,62,65,68,71,74,77,81,85,24:30,62,65,68,71,74,77,81,85
21:35,61,64,67,70,73,76,80,84,24:35,61,64,67,70,73,76,80,84
21:40,60,63,66,70,73,75,79,83,24:40,60,63,66,70,73,75,79,83
21:45,59,62,66,69,72,75,78,83,24:45,59,62,66,69,72,75,78,83
21:50,58,61,65,68,71,74,78,82,24:50,58,61,65,68,71,74,78,82
21:55,57,61,64,67,70,73,77,81,24:55,57,61,64,67,70,73,77,81

Male,17-20 21-25 26-30 31-35 36-40 41-45 46-50,,,,,,,51+,Female 17-20 21-25 26-30 31-35 36-40 41-45 46-50,,,,,,,,51+
Max,18:00 18:15 18:30 18:45 19:00 19:15 19:35 20:00,,,,,,,,Max,21:00 21:15 21:30 21:45 22:00 22:15 22:35 23:00,,,,,,,
Min,23:30 23:50 24:10 24:30 24:50 25:10 25:35 26:00,,,,,,,,Min,26:30 26:50 27:10 27:30 27:50 28:10 28:35 29:00,,,,,,,
Min Pts,40,40,40,40,40,40,40,40,Min Pts,40,40,40,40,40,40,40,40
22:00,56,60,63,66,69,72,76,80,25:00,56,60,63,66,69,72,76,80
22:05,55,59,62,65,68,71,75,79,25:05,55,59,62,65,68,71,75,79
22:10,55,58,61,64,67,70,74,78,25:10,55,58,61,64,67,70,74,78
22:15,54,57,60,63,67,70,73,78,25:15,54,57,60,63,67,70,73,78
22:20,53,56,59,63,66,69,73,77,25:20,53,56,59,63,66,69,73,77
22:25,52,55,59,62,65,68,72,76,25:25,52,55,59,62,65,68,72,76
22:30,51,54,58,61,64,67,71,75,25:30,51,54,58,61,64,67,71,75
22:35,50,53,57,60,63,66,70,74,25:35,50,53,57,60,63,66,70,74
22:40,49,53,56,59,62,65,69,73,25:40,49,53,56,59,62,65,69,73
22:45,48,52,55,58,61,65,68,73,25:45,48,52,55,58,61,65,68,73
22:50,47,51,54,57,61,64,68,72,25:50,47,51,54,57,61,64,68,72
22:55,46,50,53,57,60,63,67,71,25:55,46,50,53,57,60,63,67,71
23:00,45,49,52,56,59,62,66,70,26:00,45,49,52,56,59,62,66,70
23:05,45,48,51,55,58,61,65,69,26:05,45,48,51,55,58,61,65,69
23:10,44,47,51,54,57,60,64,68,26:10,44,47,51,54,57,60,64,68
23:15,43,46,50,53,56,59,63,68,26:15,43,46,50,53,56,59,63,68
23:20,42,45,49,52,55,59,63,67,26:20,42,45,49,52,55,59,63,67
23:25,41,44,48,51,55,58,62,66,26:25,41,44,48,51,55,58,62,66
23:30,40,44,47,50,54,57,61,65,26:30,40,44,47,50,54,57,61,65
23:35,,43,46,50,53,56,60,64,26:35,,43,46,50,53,56,60,64
23:40,,42,45,49,52,55,59,63,26:40,,42,45,49,52,55,59,63
23:45,,41,44,48,51,54,58,63,26:45,,41,44,48,51,54,58,63
23:50,,40,44,47,50,54,58,62,26:50,,40,44,47,50,54,58,62
23:55,,,43,46,49,53,57,61,26:55,,,43,46,49,53,57,61
24:00,,,42,45,49,52,56,60,27:00,,,42,45,49,52,56,60
24:05,,,41,44,48,51,55,59,27:05,,,41,44,48,51,55,59
24:10,,,40,43,47,50,54,58,27:10,,,40,43,47,50,54,58
24:15,,,,43,46,49,53,58,27:15,,,,43,46,49,53,58
24:20,,,,42,45,48,53,57,27:20,,,,42,45,48,53,57
24:25,,,,41,44,48,52,56,27:25,,,,41,44,48,52,56
24:30,,,,40,43,47,51,55,27:30,,,,40,43,47,51,55
24:35,,,,,43,46,50,54,27:35,,,,,43,46,50,54
24:40,,,,,42,45,49,53,27:40,,,,,42,45,49,53
24:45,,,,,41,44,48,53,27:45,,,,,41,44,48,53
24:50,,,,,40,43,48,52,27:50,,,,,40,43,48,52
24:55,,,,,,43,47,51,27:55,,,,,,43,47,51
25:00,,,,,,42,46,50,28:00,,,,,,42,46,50
25:05,,,,,,41,45,49,28:05,,,,,,41,45,49
25:10,,,,,,40,44,48,28:10,,,,,,40,44,48
25:15,,,,,,,43,48,28:15,,,,,,,43,48
25:20,,,,,,,43,47,28:20,,,,,,,43,47
25:25,,,,,,,42,46,28:25,,,,,,,42,46
25:30,,,,,,,41,45,28:30,,,,,,,41,45
25:35,,,,,,,40,44,28:35,,,,,,,40,44
25:40,,,,,,,,43,28:40,,,,,,,,43
25:45,,,,,,,,43,28:45,,,,,,,,43
25:50,,,,,,,,42,28:50,,,,,,,,42
25:55,,,,,,,,41,28:55,,,,,,,,41
26:00,,,,,,,,40,29:00,,,,,,,,40

Table,,,,2-7.-,,"5,000m",,Row,at,Altitude,Scoring,Tables.,,,,,
Male,17-20,21-25 26-30 31-35 36-40 41-45 46-50,,,,,,51+,Female,17-20,21-25 26-30 31-35 36-40 41-45 46-50,,,,,,51+
Max,18:40,18:55 19:10 19:25 19:40 19:55 20:15 20:40,,,,,,,Max,21:40,21:55 22:10 22:25 22:40 22:55 23:15 23:40,,,,,,
Min,24:10,24:30 24:50 25:10 25:30 25:50 26:15 26:40,,,,,,,Min,27:10,27:30 27:50 28:10 28:30 28:50 29:15 29:40,,,,,,
Min Pts,40,40,40,40,40,40,40,40,Min Pts,40,40,40,40,40,40,40,40
18:40,100,,,,,,,,21:40,100,,,,,,,
18:45,99,,,,,,,,21:45,99,,,,,,,
18:50,98,,,,,,,,21:50,98,,,,,,,
18:55,97,100,,,,,,,21:55,97,100,,,,,,
19:00,96,99,,,,,,,22:00,96,99,,,,,,
19:05,95,98,,,,,,,22:05,95,98,,,,,,
19:10,95,97,100,,,,,,22:10,95,97,100,,,,,
19:15,94,96,99,,,,,,22:15,94,96,99,,,,,
19:20,93,96,98,,,,,,22:20,93,96,98,,,,,
19:25,92,95,97,100,,,,,22:25,92,95,97,100,,,,
19:30,91,94,96,99,,,,,22:30,91,94,96,99,,,,
19:35,90,93,96,98,,,,,22:35,90,93,96,98,,,,
19:40,89,92,95,97,100,,,,22:40,89,92,95,97,100,,,
19:45,88,91,94,97,99,,,,22:45,88,91,94,97,99,,,
19:50,87,90,93,96,98,,,,22:50,87,90,93,96,98,,,
19:55,86,89,92,95,97,100,,,22:55,86,89,92,95,97,100,,
20:00,85,88,91,94,97,99,,,23:00,85,88,91,94,97,99,,
20:05,85,87,90,93,96,98,,,23:05,85,87,90,93,96,98,,
20:10,84,87,89,92,95,97,,,23:10,84,87,89,92,95,97,,
20:15,83,86,89,91,94,97,100,,23:15,83,86,89,91,94,97,100,
20:20,82,85,88,90,93,96,99,,23:20,82,85,88,90,93,96,99,
20:25,81,84,87,90,92,95,98,,23:25,81,84,87,90,92,95,98,
20:30,80,83,86,89,91,94,98,,23:30,80,83,86,89,91,94,98,
20:35,79,82,85,88,91,93,97,,23:35,79,82,85,88,91,93,97,
20:40,78,81,84,87,90,92,96,100,23:40,78,81,84,87,90,92,96,100
20:45,77,80,83,86,89,92,95,99,23:45,77,80,83,86,89,92,95,99
20:50,76,79,82,85,88,91,94,98,23:50,76,79,82,85,88,91,94,98
20:55,75,79,81,84,87,90,93,98,23:55,75,79,81,84,87,90,93,98
21:00,75,78,81,83,86,89,93,97,24:00,75,78,81,83,86,89,93,97
21:05,74,77,80,83,85,88,92,96,24:05,74,77,80,83,85,88,92,96
21:10,73,76,79,82,85,87,91,95,24:10,73,76,79,82,85,87,91,95
21:15,72,75,78,81,84,86,90,94,24:15,72,75,78,81,84,86,90,94
21:20,71,74,77,80,83,86,89,93,24:20,71,74,77,80,83,86,89,93
21:25,70,73,76,79,82,85,88,93,24:25,70,73,76,79,82,85,88,93
21:30,69,72,75,78,81,84,88,92,24:30,69,72,75,78,81,84,88,92
21:35,68,71,74,77,80,83,87,91,24:35,68,71,74,77,80,83,87,91
21:40,67,70,74,77,79,82,86,90,24:40,67,70,74,77,79,82,86,90
21:45,66,70,73,76,79,81,85,89,24:45,66,70,73,76,79,81,85,89
21:50,65,69,72,75,78,81,84,88,24:50,65,69,72,75,78,81,84,88
21:55,65,68,71,74,77,80,83,88,24:55,65,68,71,74,77,80,83,88
22:00,64,67,70,73,76,79,83,87,25:00,64,67,70,73,76,79,83,87
22:05,63,66,69,72,75,78,82,86,25:05,63,66,69,72,75,78,82,86
22:10,62,65,68,71,74,77,81,85,25:10,62,65,68,71,74,77,81,85
22:15,61,64,67,70,73,76,80,84,25:15,61,64,67,70,73,76,80,84
22:20,60,63,66,70,73,75,79,83,25:20,60,63,66,70,73,75,79,83
22:25,59,62,66,69,72,75,78,83,25:25,59,62,66,69,72,75,78,83
22:30,58,61,65,68,71,74,78,82,25:30,58,61,65,68,71,74,78,82
22:35,57,61,64,67,70,73,77,81,25:35,57,61,64,67,70,73,77,81
22:40,56,60,63,66,69,72,76,80,25:40,56,60,63,66,69,72,76,80

Male,17-20 21-25 26-30 31-35 36-40 41-45 46-50,,,,,,,51+,Female 17-20 21-25 26-30 31-35 36-40 41-45 46-50,,,,,,,,51+
Max,18:40 18:55 19:10 19:25 19:40 19:55 20:15 20:40,,,,,,,,Max,21:40 21:55 22:10 22:25 22:40 22:55 23:15 23:40,,,,,,,
Min,24:10 24:30 24:50 25:10 25:30 25:50 26:15 26:40,,,,,,,,Min,27:10 27:30 27:50 28:10 28:30 28:50 29:15 29:40,,,,,,,
Min Pts,40,40,40,40,40,40,40,40,Min Pts,40,40,40,40,40,40,40,40
22:45,55,59,62,65,68,71,75,79,25:45,55,59,62,65,68,71,75,79
22:50,55,58,61,64,67,70,74,78,25:50,55,58,61,64,67,70,74,78
22:55,54,57,60,63,67,70,73,78,25:55,54,57,60,63,67,70,73,78
23:00,53,56,59,63,66,69,73,77,26:00,53,56,59,63,66,69,73,77
23:05,52,55,59,62,65,68,72,76,26:05,52,55,59,62,65,68,72,76
23:10,51,54,58,61,64,67,71,75,26:10,51,54,58,61,64,67,71,75
23:15,50,53,57,60,63,66,70,74,26:15,50,53,57,60,63,66,70,74
23:20,49,53,56,59,62,65,69,73,26:20,49,53,56,59,62,65,69,73
23:25,48,52,55,58,61,65,68,73,26:25,48,52,55,58,61,65,68,73
23:30,47,51,54,57,61,64,68,72,26:30,47,51,54,57,61,64,68,72
23:35,46,50,53,57,60,63,67,71,26:35,46,50,53,57,60,63,67,71
23:40,45,49,52,56,59,62,66,70,26:40,45,49,52,56,59,62,66,70
23:45,45,48,51,55,58,61,65,69,26:45,45,48,51,55,58,61,65,69
23:50,44,47,51,54,57,60,64,68,26:50,44,47,51,54,57,60,64,68
23:55,43,46,50,53,56,59,63,68,26:55,43,46,50,53,56,59,63,68
24:00,42,45,49,52,55,59,63,67,27:00,42,45,49,52,55,59,63,67
24:05,41,44,48,51,55,58,62,66,27:05,41,44,48,51,55,58,62,66
24:10,40,44,47,50,54,57,61,65,27:10,40,44,47,50,54,57,61,65
24:15,,43,46,50,53,56,60,64,27:15,,43,46,50,53,56,60,64
24:20,,42,45,49,52,55,59,63,27:20,,42,45,49,52,55,59,63
24:25,,41,44,48,51,54,58,63,27:25,,41,44,48,51,54,58,63
24:30,,40,44,47,50,54,58,62,27:30,,40,44,47,50,54,58,62
24:35,,,43,46,49,53,57,61,27:35,,,43,46,49,53,57,61
24:40,,,42,45,49,52,56,60,27:40,,,42,45,49,52,56,60
24:45,,,41,44,48,51,55,59,27:45,,,41,44,48,51,55,59
24:50,,,40,43,47,50,54,58,27:50,,,40,43,47,50,54,58
24:55,,,,43,46,49,53,58,27:55,,,,43,46,49,53,58
25:00,,,,42,45,48,53,57,28:00,,,,42,45,48,53,57
25:05,,,,41,44,48,52,56,28:05,,,,41,44,48,52,56
25:10,,,,40,43,47,51,55,28:10,,,,40,43,47,51,55
25:15,,,,,43,46,50,54,28:15,,,,,43,46,50,54
25:20,,,,,42,45,49,53,28:20,,,,,42,45,49,53
25:25,,,,,41,44,48,53,28:25,,,,,41,44,48,53
25:30,,,,,40,43,48,52,28:30,,,,,40,43,48,52
25:35,,,,,,43,47,51,28:35,,,,,,43,47,51
25:40,,,,,,42,46,50,28:40,,,,,,42,46,50
25:45,,,,,,41,45,49,28:45,,,,,,41,45,49
25:50,,,,,,40,44,48,28:50,,,,,,40,44,48
25:55,,,,,,,43,48,28:55,,,,,,,43,48
26:00,,,,,,,43,47,29:00,,,,,,,43,47
26:05,,,,,,,42,46,29:05,,,,,,,42,46
26:10,,,,,,,41,45,29:10,,,,,,,41,45
26:15,,,,,,,40,44,29:15,,,,,,,40,44
26:20,,,,,,,,43,29:20,,,,,,,,43
26:25,,,,,,,,43,29:25,,,,,,,,43
26:30,,,,,,,,42,29:30,,,,,,,,42
26:35,,,,,,,,41,29:35,,,,,,,,41
26:40,,,,,,,,40,29:40,,,,,,,,40
